"Id_Intersection","Date","Longitude","Latitude","Intersection_1","Intersection_2","Autos","Bus","Camions","Camions articules","Camions legers","Camions Lourds","Camions porteurs","Motos","Pietons","Tous","Velos"
194,2019-11-21,-73.643311,45.496916,"Vézina","Victoria",13916,146,0,0,0,235,0,0,5272,0,25
198,2017-03-21,-73.585146,45.45715,"Angers","Jolicoeur",3894,81,83,0,0,0,0,0,1110,0,22
199,2017-03-21,-73.588573,45.455496,"Desmarchais","Laurendeau",1804,39,28,0,0,0,0,0,601,0,15
200,2019-10-16,-73.613938,45.532688,"Dante","Saint-Laurent",7354,103,0,83,0,0,383,0,1650,0,287
203,2018-09-25,-73.589956,45.463777,"Eadie","Église",6060,126,0,0,0,346,0,0,487,0,99
203,2018-09-26,-73.589956,45.463777,"Eadie","Église",6475,125,0,0,0,367,0,0,503,0,112
203,2018-09-27,-73.589956,45.463777,"Eadie","Église",6420,121,0,0,0,463,0,0,568,0,228
207,2021-08-31,-73.595261,45.464653,"Église","Saint-Patrick",9788,209,0,0,0,875,0,0,473,0,373
207,2021-09-01,-73.595261,45.464653,"Église","Saint-Patrick",9807,216,0,0,0,801,0,0,409,0,371
207,2021-09-02,-73.595261,45.464653,"Église","Saint-Patrick",10377,229,0,0,0,789,0,0,384,0,353
209,2017-03-21,-73.588246,45.459341,"Jacques-Hertel","Laurendeau",3211,43,76,0,0,0,0,0,1183,0,29
210,2017-03-21,-73.588439,45.457254,"Jolicoeur","Laurendeau",5311,116,149,0,0,0,0,0,1668,0,22
210,2019-08-13,-73.588439,45.457254,"Jolicoeur","Laurendeau",9313,206,0,0,0,164,0,0,1819,0,98
210,2019-08-14,-73.588439,45.457254,"Jolicoeur","Laurendeau",9482,203,0,0,0,192,0,0,1690,0,76
210,2019-08-15,-73.588439,45.457254,"Jolicoeur","Laurendeau",9736,190,0,0,0,217,0,0,1800,0,69
211,2018-10-25,-73.581082,45.457008,"Jolicoeur","La Vérendrye",7190,55,0,0,0,64,0,0,718,0,16
211,2018-10-26,-73.581082,45.457008,"Jolicoeur","La Vérendrye",27754,327,0,0,0,716,0,0,3389,0,80
