"Date","Autos","Autres","Bus","Camions","Camions.articules","Camions.legers","Camions.Lourds","Camions.porteurs","Ecoliers","Illegaux","Motos","Non.Utilise","Pietons","Tous","Velos","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10"
"2014-03-04",8329,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2014-03-11",33863,0,163,753,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
"2014-03-18",7013,0,0,196,0,0,0,0,0,0,0,0,5166,0,0,0,0,0,0,0,0,1,0,0,0
"2014-03-19",27091,0,0,358,0,0,0,0,0,0,0,0,11136,0,0,0,1,0,1,0,1,0,0,0,0
"2014-03-21",5290,0,0,48,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,1
"2014-03-27",51750,0,615,1840,0,0,0,0,0,0,0,4,4843,0,525,0,0,0,0,1,0,0,0,1,2
"2014-04-03",35663,0,401,924,0,0,0,0,0,0,0,0,2974,0,242,0,0,0,1,0,0,0,0,1,0
"2014-04-24",11776,0,0,751,0,0,0,0,0,0,0,0,136,0,82,0,0,0,1,0,0,0,0,0,0
"2014-04-30",29496,0,301,1014,0,0,0,0,0,0,0,0,4216,0,55,1,0,0,0,0,0,0,0,1,0
"2014-05-08",46201,0,840,997,0,0,0,0,0,0,0,8,1261,0,64,1,0,0,0,0,0,0,0,0,0
"2014-05-13",29288,0,209,806,0,0,0,0,0,0,0,0,1952,0,69,0,0,0,0,0,0,0,1,0,2
"2014-05-14",48319,0,879,1324,0,0,0,0,0,0,0,179,3710,0,432,2,0,0,1,0,0,1,0,0,0
"2014-05-15",64489,0,732,3085,0,0,0,0,0,0,0,4,8039,0,2228,0,0,0,0,0,0,0,0,1,3
"2014-05-21",45690,0,741,1063,0,0,0,0,0,0,0,1,2170,0,1725,0,1,0,0,0,0,0,0,1,2
"2014-05-22",59764,0,647,2451,0,0,0,0,0,0,0,0,2776,0,802,1,0,0,1,0,0,1,0,0,0
"2014-05-27",33362,0,446,1032,0,0,0,0,0,0,0,1,1962,0,220,1,1,0,0,1,0,0,0,0,0
"2014-05-28",52595,0,430,3845,0,0,0,0,0,0,0,1,4508,0,1294,1,0,1,0,0,1,0,1,0,0
"2014-05-29",53627,0,1067,1814,0,0,0,0,0,0,0,0,8879,0,622,0,0,0,1,0,0,1,1,0,0
"2014-06-05",27112,0,386,730,0,0,0,0,0,0,0,0,4339,0,687,2,1,0,0,0,0,0,0,0,0
"2014-06-10",18744,0,0,586,0,0,0,0,0,0,0,0,342,0,196,0,0,0,0,1,0,0,0,0,0
